index,group,side,phase,target,type,word_sel,nonword_sel,set,step,recording,path
1,B_group,left,exposure,[B?]allerina,crit_amb,Yes,No,Ballerina_Pallerina_1,15,1,ambiguous/Ballerina_Pallerina_1_15.mp3
2,B_group,left,exposure,[B?]alloon,crit_amb,Yes,No,Balloon_Palloon_3,12,3,ambiguous/Balloon_Palloon_3_12.mp3
3,B_group,left,exposure,[B?]aloney,crit_amb,Yes,No,Baloney_Paloney_1,10,1,ambiguous/Baloney_Paloney_1_10.mp3
4,B_group,left,exposure,[B?]anana,crit_amb,Yes,No,Banana_Panana_3,17,3,ambiguous/Banana_Panana_3_17.mp3
5,B_group,left,exposure,[B?]arely,crit_amb,Yes,No,Barely_Parely_1,7,1,ambiguous/Barely_Parely_1_7.mp3
6,B_group,left,exposure,[B?]arn,crit_amb,Yes,No,Barn_Parn_1,20,1,ambiguous/Barn_Parn_1_20.mp3
7,B_group,left,exposure,[B?]arren,crit_amb,Yes,No,Barren_Parren_3,17,3,ambiguous/Barren_Parren_3_17.mp3
8,B_group,left,exposure,[B?]elly,crit_amb,Yes,No,Belly_Pelly_3,17,3,ambiguous/Belly_Pelly_3_17.mp3
9,B_group,left,exposure,[B?]enign,crit_amb,Yes,No,Benign_Penign_3,14,3,ambiguous/Benign_Penign_3_14.mp3
10,B_group,left,exposure,[B?]iannual,crit_amb,Yes,No,Biannual_Piannual_3,7,3,ambiguous/Biannual_Piannual_3_7.mp3
11,B_group,left,exposure,[B?]illion,crit_amb,Yes,No,Billion_Pillion_3,18,3,ambiguous/Billion_Pillion_3_18.mp3
12,B_group,left,exposure,[B?]illionaire,crit_amb,Yes,No,Billionaire_Pillionaire_3,8,3,ambiguous/Billionaire_Pillionaire_3_8.mp3
13,B_group,left,exposure,[B?]lue,crit_amb,Yes,No,Blue_Plue_3,17,3,ambiguous/Blue_Plue_3_17.mp3
14,B_group,left,exposure,[B?]oil,crit_amb,Yes,No,Boil_Poil_1,15,1,ambiguous/Boil_Poil_1_15.mp3
15,B_group,left,exposure,[B?]oom,crit_amb,Yes,No,Boom_Poom_1,15,1,ambiguous/Boom_Poom_1_15.mp3
16,B_group,left,exposure,[B?]rain,crit_amb,Yes,No,Brain_Prain_3,19,3,ambiguous/Brain_Prain_3_19.mp3
17,B_group,left,exposure,[B?]rewery,crit_amb,Yes,No,Brewery_Prewery_1,13,1,ambiguous/Brewery_Prewery_1_13.mp3
18,B_group,left,exposure,[B?]rown,crit_amb,Yes,No,Brown_Prown_3,11,3,ambiguous/Brown_Prown_3_11.mp3
19,B_group,left,exposure,[B?]urial,crit_amb,Yes,No,Burial_Purial_1,17,1,ambiguous/Burial_Purial_1_17.mp3
20,B_group,left,exposure,[B?]urrow,crit_amb,Yes,No,Burrow_Purrow_3,9,3,ambiguous/Burrow_Purrow_3_9.mp3
21,B_group,left,exposure,Parallel,crit_unamb,Yes,No,Barallel_Parallel,NA,4,unambiguous/Barallel_Parallel_4.mp3
22,B_group,left,exposure,Parlor,crit_unamb,Yes,No,Barlor_Parlor,NA,4,unambiguous/Barlor_Parlor_4.mp3
23,B_group,left,exposure,Pawn,crit_unamb,Yes,No,Bawn_Pawn,NA,2,unambiguous/Bawn_Pawn_2.mp3
24,B_group,left,exposure,Peninsula,crit_unamb,Yes,No,Beninsula_Peninsula,NA,2,unambiguous/Beninsula_Peninsula_2.mp3
25,B_group,left,exposure,Perform,crit_unamb,Yes,No,Berform_Perform,NA,2,unambiguous/Berform_Perform_2.mp3
26,B_group,left,exposure,Pioneer,crit_unamb,Yes,No,Bioneer_Pioneer,NA,4,unambiguous/Bioneer_Pioneer_4.mp3
27,B_group,left,exposure,Planner,crit_unamb,Yes,No,Blanner_Planner,NA,2,unambiguous/Blanner_Planner_2.mp3
28,B_group,left,exposure,Plea,crit_unamb,Yes,No,Blea_Plea,NA,2,unambiguous/Blea_Plea_2.mp3
29,B_group,left,exposure,Plyer,crit_unamb,Yes,No,Blyer_Plyer,NA,2,unambiguous/Blyer_Plyer_2.mp3
30,B_group,left,exposure,Pollen,crit_unamb,Yes,No,Bollen_Pollen,NA,2,unambiguous/Bollen_Pollen_2.mp3
31,B_group,left,exposure,Polymer,crit_unamb,Yes,No,Bolymer_Polymer,NA,2,unambiguous/Bolymer_Polymer_2.mp3
32,B_group,left,exposure,Prayer,crit_unamb,Yes,No,Brayer_Prayer,NA,2,unambiguous/Brayer_Prayer_2.mp3
33,B_group,left,exposure,Preliminary,crit_unamb,Yes,No,Breliminary_Preliminary,NA,2,unambiguous/Breliminary_Preliminary_2.mp3
34,B_group,left,exposure,Premier,crit_unamb,Yes,No,Bremier_Premier,NA,2,unambiguous/Bremier_Premier_2.mp3
35,B_group,left,exposure,Primal,crit_unamb,Yes,No,Brimal_Primal,NA,2,unambiguous/Brimal_Primal_2.mp3
36,B_group,left,exposure,Prime,crit_unamb,Yes,No,Brime_Prime,NA,2,unambiguous/Brime_Prime_2.mp3
37,B_group,left,exposure,Prior,crit_unamb,Yes,No,Brior_Prior,NA,2,unambiguous/Brior_Prior_2.mp3
38,B_group,left,exposure,Prowl,crit_unamb,Yes,No,Browl_Prowl,NA,2,unambiguous/Browl_Prowl_2.mp3
39,B_group,left,exposure,Pry,crit_unamb,Yes,No,Bry_Pry,NA,2,unambiguous/Bry_Pry_2.mp3
40,B_group,left,exposure,Pylon,crit_unamb,Yes,No,Bylon_Pylon,NA,2,unambiguous/Bylon_Pylon_2.mp3
41,B_group,left,exposure,Aisle,fill_word,Yes,No,Aisle,NA,1,word/Aisle_1.mp3
42,B_group,left,exposure,Ally,fill_word,Yes,No,Ally,NA,1,word/Ally_1.mp3
43,B_group,left,exposure,Area,fill_word,Yes,No,Area,NA,1,word/Area_1.mp3
44,B_group,left,exposure,Arena,fill_word,Yes,No,Arena,NA,1,word/Arena_1.mp3
45,B_group,left,exposure,Arrow,fill_word,Yes,No,Arrow,NA,1,word/Arrow_1.mp3
46,B_group,left,exposure,Assume,fill_word,Yes,No,Assume,NA,1,word/Assume_1.mp3
47,B_group,left,exposure,Aware,fill_word,Yes,No,Aware,NA,1,word/Aware_1.mp3
48,B_group,left,exposure,Enemy,fill_word,Yes,No,Enemy,NA,1,word/Enemy_1.mp3
49,B_group,left,exposure,Ensure,fill_word,Yes,No,Ensure,NA,1,word/Ensure_1.mp3
50,B_group,left,exposure,Error,fill_word,Yes,No,Error,NA,1,word/Error_1.mp3
51,B_group,left,exposure,Eye,fill_word,Yes,No,Eye,NA,1,word/Eye_1.mp3
52,B_group,left,exposure,Failure,fill_word,Yes,No,Failure,NA,1,word/Failure_1.mp3
53,B_group,left,exposure,Famous,fill_word,Yes,No,Famous,NA,1,word/Famous_1.mp3
54,B_group,left,exposure,Flower,fill_word,Yes,No,Flower,NA,1,word/Flower_1.mp3
55,B_group,left,exposure,Frame,fill_word,Yes,No,Frame,NA,1,word/Frame_1.mp3
56,B_group,left,exposure,Funnel,fill_word,Yes,No,Funnel,NA,1,word/Funnel_1.mp3
57,B_group,left,exposure,Hallway,fill_word,Yes,No,Hallway,NA,1,word/Hallway_1.mp3
58,B_group,left,exposure,Hang,fill_word,Yes,No,Hang,NA,1,word/Hang_1.mp3
59,B_group,left,exposure,Harmony,fill_word,Yes,No,Harmony,NA,1,word/Harmony_1.mp3
60,B_group,left,exposure,Hill,fill_word,Yes,No,Hill,NA,1,word/Hill_1.mp3
61,B_group,left,exposure,Hole,fill_word,Yes,No,Hole,NA,1,word/Hole_1.mp3
62,B_group,left,exposure,Horn,fill_word,Yes,No,Horn,NA,1,word/Horn_1.mp3
63,B_group,left,exposure,Jelly,fill_word,Yes,No,Jelly,NA,1,word/Jelly_1.mp3
64,B_group,left,exposure,Jewel,fill_word,Yes,No,Jewel,NA,1,word/Jewel_1.mp3
65,B_group,left,exposure,Lawyer,fill_word,Yes,No,Lawyer,NA,1,word/Lawyer_1.mp3
66,B_group,left,exposure,Layer,fill_word,Yes,No,Layer,NA,1,word/Layer_1.mp3
67,B_group,left,exposure,Learning,fill_word,Yes,No,Learning,NA,1,word/Learning_1.mp3
68,B_group,left,exposure,Low,fill_word,Yes,No,Low,NA,1,word/Low_1.mp3
69,B_group,left,exposure,Main,fill_word,Yes,No,Main,NA,1,word/Main_1.mp3
70,B_group,left,exposure,Marine,fill_word,Yes,No,Marine,NA,1,word/Marine_1.mp3
71,B_group,left,exposure,Memory,fill_word,Yes,No,Memory,NA,1,word/Memory_1.mp3
72,B_group,left,exposure,Money,fill_word,Yes,No,Money,NA,1,word/Money_1.mp3
73,B_group,left,exposure,Name,fill_word,Yes,No,Name,NA,1,word/Name_1.mp3
74,B_group,left,exposure,Narrow,fill_word,Yes,No,Narrow,NA,1,word/Narrow_1.mp3
75,B_group,left,exposure,Normal,fill_word,Yes,No,Normal,NA,1,word/Normal_1.mp3
76,B_group,left,exposure,Nun,fill_word,Yes,No,Nun,NA,1,word/Nun_1.mp3
77,B_group,left,exposure,Phenomenon,fill_word,Yes,No,Phenomenon,NA,1,word/Phenomenon_1.mp3
