index,group,phase,target,type,word_sel,nonword_sel,set,step,recording,path
1,control,exposure,balinomy_palinomy,crit_nonword,yes,no,balinomy_palinomy_1,23,1,balinomy_palinomy_1_23.mp3
2,control,exposure,baln_paln,crit_nonword,yes,no,baln_paln_3,22,3,baln_paln_3_22.mp3
3,control,exposure,bamurre_pamurre,crit_nonword,yes,no,bamurre_pamurre_3,21,3,bamurre_pamurre_3_21.mp3
4,control,exposure,bangle_pangle,crit_nonword,yes,no,bangle_pangle_3,22,3,bangle_pangle_3_22.mp3
5,control,exposure,barema_parema,crit_nonword,yes,no,barema_parema_3,21,3,barema_parema_3_21.mp3
6,control,exposure,barl_parl,crit_nonword,yes,no,barl_parl_3,22,3,barl_parl_3_22.mp3
7,control,exposure,belammer_pelammer,crit_nonword,yes,no,belammer_pelammer_3,17,3,belammer_pelammer_3_17.mp3
8,control,exposure,bellon_pellon,crit_nonword,yes,no,bellon_pellon_1,19,1,bellon_pellon_1_19.mp3
9,control,exposure,bemmela_pemmela,crit_nonword,yes,no,bemmela_pemmela_3,29,3,bemmela_pemmela_3_29.mp3
10,control,exposure,bemmerle_pemmerle,crit_nonword,yes,no,bemmerle_pemmerle_3,23,3,bemmerle_pemmerle_3_23.mp3
11,control,exposure,benlow_penlow,crit_nonword,yes,no,benlow_penlow_1,18,1,benlow_penlow_1_18.mp3
12,control,exposure,bennim_pennim,crit_nonword,yes,no,bennim_pennim_3,22,3,bennim_pennim_3_22.mp3
13,control,exposure,Bewry_Pewry,crit_nonword,yes,no,Bewry_Pewry_1,16,1,Bewry_Pewry_1_16.mp3
14,control,exposure,bim_pim,crit_nonword,yes,no,bim_pim_3,15,3,bim_pim_3_15.mp3
15,control,exposure,bimmel_pimmel,crit_nonword,yes,no,bimmel_pimmel_1,20,1,bimmel_pimmel_1_20.mp3
16,control,exposure,binneran_pinneran,crit_nonword,yes,no,binneran_pinneran_1,21,1,binneran_pinneran_1_21.mp3
17,control,exposure,borl_porl,crit_nonword,yes,no,borl_porl_3,17,3,borl_porl_3_17.mp3
18,control,exposure,boyer_poyer,crit_nonword,yes,no,boyer_poyer_3,17,3,boyer_poyer_3_17.mp3
19,control,exposure,brynon_prynon,crit_nonword,yes,no,brynon_prynon_1,22,1,brynon_prynon_1_22.mp3
20,control,exposure,bunnel_punnel,crit_nonword,yes,no,bunnel_punnel_3,28,3,bunnel_punnel_3_28.mp3
21,control,exposure,Aller,fill_nonword,yes,no,Aller,NA,1,Aller_1.mp3
22,control,exposure,Arema,fill_nonword,yes,no,Arema,NA,1,Arema_1.mp3
23,control,exposure,Chame,fill_nonword,yes,no,Chame,NA,1,Chame_1.mp3
24,control,exposure,Cheel,fill_nonword,yes,no,Cheel,NA,1,Cheel_1.mp3
25,control,exposure,Churr,fill_nonword,yes,no,Churr,NA,1,Churr_1.mp3
26,control,exposure,Eamer,fill_nonword,yes,no,Eamer,NA,1,Eamer_1.mp3
27,control,exposure,Eelam,fill_nonword,yes,no,Eelam,NA,1,Eelam_1.mp3
28,control,exposure,Eynam,fill_nonword,yes,no,Eynam,NA,1,Eynam_1.mp3
29,control,exposure,Feen,fill_nonword,yes,no,Feen,NA,1,Feen_1.mp3
30,control,exposure,Felmy,fill_nonword,yes,no,Felmy,NA,1,Felmy_1.mp3
31,control,exposure,Fime,fill_nonword,yes,no,Fime,NA,1,Fime_1.mp3
32,control,exposure,Fonnow,fill_nonword,yes,no,Fonnow,NA,1,Fonnow_1.mp3
33,control,exposure,Foon,fill_nonword,yes,no,Foon,NA,1,Foon_1.mp3
34,control,exposure,Hallen,fill_nonword,yes,no,Hallen,NA,1,Hallen_1.mp3
35,control,exposure,Hame,fill_nonword,yes,no,Hame,NA,1,Hame_1.mp3
36,control,exposure,Harl,fill_nonword,yes,no,Harl,NA,1,Harl_1.mp3
37,control,exposure,Harn,fill_nonword,yes,no,Harn,NA,1,Harn_1.mp3
38,control,exposure,Harnomy,fill_nonword,yes,no,Harnomy,NA,1,Harnomy_1.mp3
39,control,exposure,Heln,fill_nonword,yes,no,Heln,NA,1,Heln_1.mp3
40,control,exposure,Hemmery,fill_nonword,yes,no,Hemmery,NA,1,Hemmery_1.mp3
41,control,exposure,Heon,fill_nonword,yes,no,Heon,NA,1,Heon_1.mp3
42,control,exposure,Heyn,fill_nonword,yes,no,Heyn,NA,1,Heyn_1.mp3
43,control,exposure,Hing,fill_nonword,yes,no,Hing,NA,1,Hing_1.mp3
44,control,exposure,Hino,fill_nonword,yes,no,Hino,NA,1,Hino_1.mp3
45,control,exposure,Hollin,fill_nonword,yes,no,Hollin,NA,1,Hollin_1.mp3
46,control,exposure,Hoy,fill_nonword,yes,no,Hoy,NA,1,Hoy_1.mp3
