index,group,side,phase,target,type,word_sel,nonword_sel,set,step,recording,path
1,P_group,left,exposure,[P?]arallel,crit_amb,Real,Pseudo,Barallel_Parallel_3,21,3,ambiguous/Barallel_Parallel_3_21.mp3
2,P_group,left,exposure,[P?]arlor,crit_amb,Real,Pseudo,Barlor_Parlor_3,25,3,ambiguous/Barlor_Parlor_3_25.mp3
3,P_group,left,exposure,[P?]awn,crit_amb,Real,Pseudo,Bawn_Pawn_3,25,3,ambiguous/Bawn_Pawn_3_25.mp3
4,P_group,left,exposure,[P?]eninsula,crit_amb,Real,Pseudo,Beninsula_Peninsula_3,29,3,ambiguous/Beninsula_Peninsula_3_29.mp3
5,P_group,left,exposure,[P?]erform,crit_amb,Real,Pseudo,Berform_Perform_3,30,3,ambiguous/Berform_Perform_3_30.mp3
6,P_group,left,exposure,[P?]ioneer,crit_amb,Real,Pseudo,Bioneer_Pioneer_3,30,3,ambiguous/Bioneer_Pioneer_3_30.mp3
7,P_group,left,exposure,[P?]lanner,crit_amb,Real,Pseudo,Blanner_Planner_3,25,3,ambiguous/Blanner_Planner_3_25.mp3
8,P_group,left,exposure,[P?]lea,crit_amb,Real,Pseudo,Blea_Plea_3,23,3,ambiguous/Blea_Plea_3_23.mp3
9,P_group,left,exposure,[P?]lyer,crit_amb,Real,Pseudo,Blyer_Plyer_1,22,1,ambiguous/Blyer_Plyer_1_22.mp3
10,P_group,left,exposure,[P?]ollen,crit_amb,Real,Pseudo,Bollen_Pollen_3,26,3,ambiguous/Bollen_Pollen_3_26.mp3
11,P_group,left,exposure,[P?]olymer,crit_amb,Real,Pseudo,Bolymer_Polymer_3,26,3,ambiguous/Bolymer_Polymer_3_26.mp3
12,P_group,left,exposure,[P?]rayer,crit_amb,Real,Pseudo,Brayer_Prayer_1,24,1,ambiguous/Brayer_Prayer_1_24.mp3
13,P_group,left,exposure,[P?]reliminary,crit_amb,Real,Pseudo,Breliminary_Preliminary_1,29,1,ambiguous/Breliminary_Preliminary_1_29.mp3
14,P_group,left,exposure,[P?]remier,crit_amb,Real,Pseudo,Bremier_Premier_3,25,3,ambiguous/Bremier_Premier_3_25.mp3
15,P_group,left,exposure,[P?]rimal,crit_amb,Real,Pseudo,Brimal_Primal_3,27,3,ambiguous/Brimal_Primal_3_27.mp3
16,P_group,left,exposure,[P?]rime,crit_amb,Real,Pseudo,Brime_Prime_1,21,1,ambiguous/Brime_Prime_1_21.mp3
17,P_group,left,exposure,[P?]rior,crit_amb,Real,Pseudo,Brior_Prior_3,22,3,ambiguous/Brior_Prior_3_22.mp3
18,P_group,left,exposure,[P?]rowl,crit_amb,Real,Pseudo,Browl_Prowl_3,16,1,ambiguous/Browl_Prowl_1_16.mp3
19,P_group,left,exposure,[P?]ry,crit_amb,Real,Pseudo,Bry_Pry_1,21,1,ambiguous/Bry_Pry_1_21.mp3
20,P_group,left,exposure,[P?]ylon,crit_amb,Real,Pseudo,Bylon_Pylon_1,25,1,ambiguous/Bylon_Pylon_1_25.mp3
21,P_group,left,exposure,Ballerina,crit_unamb,Real,Pseudo,Ballerina_Pallerina_1.mp3,NA,1,unambiguous/Ballerina_Pallerina_1.mp3
22,P_group,left,exposure,Balloon,crit_unamb,Real,Pseudo,Balloon_Palloon_1.mp3,NA,1,unambiguous/Balloon_Palloon_1.mp3
23,P_group,left,exposure,Baloney,crit_unamb,Real,Pseudo,Baloney_Paloney_1.mp3,NA,1,unambiguous/Baloney_Paloney_1.mp3
24,P_group,left,exposure,Banana,crit_unamb,Real,Pseudo,Banana_Panana_1.mp3,NA,1,unambiguous/Banana_Panana_1.mp3
25,P_group,left,exposure,Barely,crit_unamb,Real,Pseudo,Barely_Parely_1.mp3,NA,1,unambiguous/Barely_Parely_1.mp3
26,P_group,left,exposure,Barn,crit_unamb,Real,Pseudo,Barn_Parn_1.mp3,NA,1,unambiguous/Barn_Parn_1.mp3
27,P_group,left,exposure,Barren,crit_unamb,Real,Pseudo,Barren_Parren_3.mp3,NA,3,unambiguous/Barren_Parren_3.mp3
28,P_group,left,exposure,Belly,crit_unamb,Real,Pseudo,Belly_Pelly_3.mp3,NA,3,unambiguous/Belly_Pelly_3.mp3
29,P_group,left,exposure,Benign,crit_unamb,Real,Pseudo,Benign_Penign_1.mp3,NA,1,unambiguous/Benign_Penign_1.mp3
30,P_group,left,exposure,Biannual,crit_unamb,Real,Pseudo,Biannual_Piannual_1.mp3,NA,1,unambiguous/Biannual_Piannual_1.mp3
31,P_group,left,exposure,Billion,crit_unamb,Real,Pseudo,Billion_Pillion_1.mp3,NA,1,unambiguous/Billion_Pillion_1.mp3
32,P_group,left,exposure,Billionaire,crit_unamb,Real,Pseudo,Billionaire_Pillionaire_1.mp3,NA,1,unambiguous/Billionaire_Pillionaire_1.mp3
33,P_group,left,exposure,Blue,crit_unamb,Real,Pseudo,Blue_Plue_1.mp3,NA,1,unambiguous/Blue_Plue_1.mp3
34,P_group,left,exposure,Boil,crit_unamb,Real,Pseudo,Boil_Poil_1.mp3,NA,1,unambiguous/Boil_Poil_1.mp3
35,P_group,left,exposure,Boom,crit_unamb,Real,Pseudo,Boom_Poom_1.mp3,NA,1,unambiguous/Boom_Poom_1.mp3
