index,group,yes_side,test_order,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path
1,B_group,left,BDG,exposure,crit_amb,Ballerina,NA,1,1,2,Ballerina,yes,NA,NA,NA,NA,SAME,DIFFERENT,15,ambiguous/Ballerina_Pallerina_1_15.mp3
2,B_group,left,BDG,exposure,crit_amb,Balloon,NA,0,0,0,Enlarge,no,NA,NA,NA,NA,SAME,DIFFERENT,12,ambiguous/Balloon_Palloon_3_12.mp3
3,B_group,left,BDG,exposure,crit_amb,Baloney,NA,1,1,2,Baloney,yes,NA,NA,NA,NA,SAME,DIFFERENT,10,ambiguous/Baloney_Paloney_1_10.mp3
4,B_group,left,BDG,exposure,crit_amb,Banana,NA,1,1,2,Banana,yes,NA,NA,NA,NA,SAME,DIFFERENT,17,ambiguous/Banana_Panana_3_17.mp3
5,B_group,left,BDG,exposure,crit_amb,Barely,NA,1,1,2,Barely,yes,NA,NA,NA,NA,SAME,DIFFERENT,15,ambiguous/Barely_Parely_1_15.mp3
6,B_group,left,BDG,exposure,crit_amb,Barn,NA,0,1,1,Bark,no,NA,NA,NA,NA,SAME,DIFFERENT,20,ambiguous/Barn_Parn_1_20.mp3
7,B_group,left,BDG,exposure,crit_amb,Barren,NA,1,1,2,Barren,yes,NA,NA,NA,NA,SAME,DIFFERENT,20,ambiguous/Barren_Parren_3_20.mp3
8,B_group,left,BDG,exposure,crit_amb,Belly,NA,0,1,1,Berry,no,NA,NA,NA,NA,SAME,DIFFERENT,20,ambiguous/Belly_Pelly_3_20.mp3
9,B_group,left,BDG,exposure,crit_amb,Benign,NA,1,1,2,Benign,yes,NA,NA,NA,NA,SAME,DIFFERENT,14,ambiguous/Benign_Penign_3_14.mp3
10,B_group,left,BDG,exposure,crit_amb,Biannual,NA,1,1,2,Biannual,yes,NA,NA,NA,NA,SAME,DIFFERENT,7,ambiguous/Biannual_Piannual_3_7.mp3
11,B_group,left,BDG,exposure,crit_amb,Billion,NA,0,1,1,Bitter,no,NA,NA,NA,NA,SAME,DIFFERENT,18,ambiguous/Billion_Pillion_3_18.mp3
12,B_group,left,BDG,exposure,crit_amb,Billionaire,NA,1,1,2,Billionaire,yes,NA,NA,NA,NA,SAME,DIFFERENT,8,ambiguous/Billionaire_Pillionaire_3_8.mp3
13,B_group,left,BDG,exposure,crit_amb,Blue,NA,0,0,0,Colleague,no,NA,NA,NA,NA,SAME,DIFFERENT,17,ambiguous/Blue_Plue_3_17.mp3
14,B_group,left,BDG,exposure,crit_amb,Boil,NA,1,1,2,Boil,yes,NA,NA,NA,NA,SAME,DIFFERENT,15,ambiguous/Boil_Poil_1_15.mp3
15,B_group,left,BDG,exposure,crit_amb,Boom,NA,1,1,2,Boom,yes,NA,NA,NA,NA,SAME,DIFFERENT,15,ambiguous/Boom_Poom_1_15.mp3
16,B_group,left,BDG,exposure,crit_amb,Brain,NA,1,1,2,Brain,yes,NA,NA,NA,NA,SAME,DIFFERENT,19,ambiguous/Brain_Prain_3_19.mp3
17,B_group,left,BDG,exposure,crit_amb,Brewery,NA,1,1,2,Brewery,yes,NA,NA,NA,NA,SAME,DIFFERENT,13,ambiguous/Brewery_Prewery_1_13.mp3
18,B_group,left,BDG,exposure,crit_amb,Brown,NA,1,1,2,Brown,yes,NA,NA,NA,NA,SAME,DIFFERENT,11,ambiguous/Brown_Prown_3_11.mp3
19,B_group,left,BDG,exposure,crit_amb,Burial,NA,1,1,2,Burial,yes,NA,NA,NA,NA,SAME,DIFFERENT,17,ambiguous/Burial_Purial_1_17.mp3
20,B_group,left,BDG,exposure,crit_amb,Burrow,NA,1,1,2,Burrow,yes,NA,NA,NA,NA,SAME,DIFFERENT,9,ambiguous/Burrow_Purrow_3_9.mp3
21,B_group,left,BDG,exposure,crit_unamb,Parallel,NA,1,1,2,Parallel,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Barallel_Parallel_4.mp3
22,B_group,left,BDG,exposure,crit_unamb,Parlor,NA,0,0,0,Neutral,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Barlor_Parlor_4.mp3
23,B_group,left,BDG,exposure,crit_unamb,Pawn,NA,1,1,2,Pawn,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Bawn_Pawn_2.mp3
24,B_group,left,BDG,exposure,crit_unamb,Peninsula,NA,1,1,2,Peninsula,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Beninsula_Peninsula_2.mp3
25,B_group,left,BDG,exposure,crit_unamb,Perform,NA,1,1,2,Perform,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Berform_Perform_2.mp3
26,B_group,left,BDG,exposure,crit_unamb,Pioneer,NA,0,1,1,Pillow,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Bioneer_Pioneer_4.mp3
27,B_group,left,BDG,exposure,crit_unamb,Planner,NA,1,1,2,Planner,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Blanner_Planner_2.mp3
28,B_group,left,BDG,exposure,crit_unamb,Plea,NA,0,1,1,Pick,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Blea_Plea_2.mp3
29,B_group,left,BDG,exposure,crit_unamb,Plyer,NA,1,1,2,Plyer,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Blyer_Plyer_2.mp3
30,B_group,left,BDG,exposure,crit_unamb,Pollen,NA,1,1,2,Pollen,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Bollen_Pollen_2.mp3
31,B_group,left,BDG,exposure,crit_unamb,Polymer,NA,0,1,1,Pottery,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Bolymer_Polymer_2.mp3
32,B_group,left,BDG,exposure,crit_unamb,Prayer,NA,1,1,2,Prayer,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Brayer_Prayer_2.mp3
33,B_group,left,BDG,exposure,crit_unamb,Preliminary,NA,0,0,0,Temple,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Breliminary_Preliminary_2.mp3
34,B_group,left,BDG,exposure,crit_unamb,Premier,NA,1,1,2,Premier,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Bremier_Premier_2.mp3
35,B_group,left,BDG,exposure,crit_unamb,Primal,NA,1,1,2,Primal,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Brimal_Primal_2.mp3
36,B_group,left,BDG,exposure,crit_unamb,Prime,NA,1,1,2,Prime,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Brime_Prime_2.mp3
37,B_group,left,BDG,exposure,crit_unamb,Prior,NA,1,1,2,Prior,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Brior_Prior_2.mp3
38,B_group,left,BDG,exposure,crit_unamb,Prowl,NA,1,1,2,Prowl,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Browl_Prowl_2.mp3
39,B_group,left,BDG,exposure,crit_unamb,Pry,NA,1,1,2,Pry,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Bry_Pry_2.mp3
40,B_group,left,BDG,exposure,crit_unamb,Pylon,NA,1,1,2,Pylon,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,unambiguous/Bylon_Pylon_2.mp3
41,B_group,left,BDG,exposure,fill_word,Aisle,NA,0,0,0,Outfit,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Aisle_1.mp3
42,B_group,left,BDG,exposure,fill_word,Ally,NA,0,1,1,Agile,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Ally_1.mp3
43,B_group,left,BDG,exposure,fill_word,Area,NA,0,1,1,Arrogant,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Area_1.mp3
44,B_group,left,BDG,exposure,fill_word,Arena,NA,1,1,2,Arena,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Arena_1.mp3
45,B_group,left,BDG,exposure,fill_word,Arrow,NA,0,1,1,Ambition,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Arrow_1.mp3
46,B_group,left,BDG,exposure,fill_word,Assume,NA,1,1,2,Assume,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Assume_1.mp3
47,B_group,left,BDG,exposure,fill_word,Aware,NA,0,1,1,Arrest,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Aware_1.mp3
48,B_group,left,BDG,exposure,fill_word,Enemy,NA,0,1,1,Energy,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,word/Enemy_1.mp3
