index,group,yes_side,phase,type,audio,match,same_onset,needs_match_onset,visual_target,correct,match_sel,mismatch_sel,step,path
1,B_group,left,exposure,crit_amb,Ballerina,1,1,2,Ballerina,yes,SAME,DIFFERENT,15,ambiguous/Ballerina_Pallerina_1_15.mp3
2,B_group,left,exposure,crit_amb,Balloon,0,0,0,Enlarge,no,SAME,DIFFERENT,12,ambiguous/Balloon_Palloon_3_12.mp3
3,B_group,left,exposure,crit_amb,Baloney,1,1,2,Baloney,yes,SAME,DIFFERENT,10,ambiguous/Baloney_Paloney_1_10.mp3
4,B_group,left,exposure,crit_amb,Banana,1,1,2,Banana,yes,SAME,DIFFERENT,17,ambiguous/Banana_Panana_3_17.mp3
5,B_group,left,exposure,crit_amb,Barely,1,1,2,Barely,yes,SAME,DIFFERENT,15,ambiguous/Barely_Parely_1_15.mp3
6,B_group,left,exposure,crit_amb,Barn,0,1,1,Bark,no,SAME,DIFFERENT,20,ambiguous/Barn_Parn_1_20.mp3
7,B_group,left,exposure,crit_amb,Barren,1,1,2,Barren,yes,SAME,DIFFERENT,20,ambiguous/Barren_Parren_3_20.mp3
8,B_group,left,exposure,crit_amb,Belly,0,1,1,Berry,no,SAME,DIFFERENT,20,ambiguous/Belly_Pelly_3_20.mp3
9,B_group,left,exposure,crit_amb,Benign,1,1,2,Benign,yes,SAME,DIFFERENT,14,ambiguous/Benign_Penign_3_14.mp3
10,B_group,left,exposure,crit_amb,Biannual,1,1,2,Biannual,yes,SAME,DIFFERENT,7,ambiguous/Biannual_Piannual_3_7.mp3
11,B_group,left,exposure,crit_amb,Billion,0,1,1,Bitter,no,SAME,DIFFERENT,18,ambiguous/Billion_Pillion_3_18.mp3
12,B_group,left,exposure,crit_amb,Billionaire,1,1,2,Billionaire,yes,SAME,DIFFERENT,8,ambiguous/Billionaire_Pillionaire_3_8.mp3
13,B_group,left,exposure,crit_amb,Blue,0,0,0,Colleague,no,SAME,DIFFERENT,17,ambiguous/Blue_Plue_3_17.mp3
14,B_group,left,exposure,crit_amb,Boil,1,1,2,Boil,yes,SAME,DIFFERENT,15,ambiguous/Boil_Poil_1_15.mp3
15,B_group,left,exposure,crit_amb,Boom,1,1,2,Boom,yes,SAME,DIFFERENT,15,ambiguous/Boom_Poom_1_15.mp3
16,B_group,left,exposure,crit_amb,Brain,1,1,2,Brain,yes,SAME,DIFFERENT,19,ambiguous/Brain_Prain_3_19.mp3
17,B_group,left,exposure,crit_amb,Brewery,1,1,2,Brewery,yes,SAME,DIFFERENT,13,ambiguous/Brewery_Prewery_1_13.mp3
18,B_group,left,exposure,crit_amb,Brown,1,1,2,Brown,yes,SAME,DIFFERENT,11,ambiguous/Brown_Prown_3_11.mp3
19,B_group,left,exposure,crit_amb,Burial,1,1,2,Burial,yes,SAME,DIFFERENT,17,ambiguous/Burial_Purial_1_17.mp3
20,B_group,left,exposure,crit_amb,Burrow,1,1,2,Burrow,yes,SAME,DIFFERENT,9,ambiguous/Burrow_Purrow_3_9.mp3
21,B_group,left,exposure,crit_unamb,Parallel,1,1,2,Parallel,yes,SAME,DIFFERENT,NA,unambiguous/Barallel_Parallel_4.mp3
22,B_group,left,exposure,crit_unamb,Parlor,0,0,0,Neutral,no,SAME,DIFFERENT,NA,unambiguous/Barlor_Parlor_4.mp3
23,B_group,left,exposure,crit_unamb,Pawn,1,1,2,Pawn,yes,SAME,DIFFERENT,NA,unambiguous/Bawn_Pawn_2.mp3
24,B_group,left,exposure,crit_unamb,Peninsula,1,1,2,Peninsula,yes,SAME,DIFFERENT,NA,unambiguous/Beninsula_Peninsula_2.mp3
25,B_group,left,exposure,crit_unamb,Perform,1,1,2,Perform,yes,SAME,DIFFERENT,NA,unambiguous/Berform_Perform_2.mp3
26,B_group,left,exposure,crit_unamb,Pioneer,0,1,1,Pillow,no,SAME,DIFFERENT,NA,unambiguous/Bioneer_Pioneer_4.mp3
27,B_group,left,exposure,crit_unamb,Planner,1,1,2,Planner,yes,SAME,DIFFERENT,NA,unambiguous/Blanner_Planner_2.mp3
28,B_group,left,exposure,crit_unamb,Plea,0,1,1,Pick,no,SAME,DIFFERENT,NA,unambiguous/Blea_Plea_2.mp3
29,B_group,left,exposure,crit_unamb,Plyer,1,1,2,Plyer,yes,SAME,DIFFERENT,NA,unambiguous/Blyer_Plyer_2.mp3
30,B_group,left,exposure,crit_unamb,Pollen,1,1,2,Pollen,yes,SAME,DIFFERENT,NA,unambiguous/Bollen_Pollen_2.mp3
31,B_group,left,exposure,crit_unamb,Polymer,0,1,1,Pottery,no,SAME,DIFFERENT,NA,unambiguous/Bolymer_Polymer_2.mp3
32,B_group,left,exposure,crit_unamb,Prayer,1,1,2,Prayer,yes,SAME,DIFFERENT,NA,unambiguous/Brayer_Prayer_2.mp3
33,B_group,left,exposure,crit_unamb,Preliminary,0,0,0,Temple,no,SAME,DIFFERENT,NA,unambiguous/Breliminary_Preliminary_2.mp3
34,B_group,left,exposure,crit_unamb,Premier,1,1,2,Premier,yes,SAME,DIFFERENT,NA,unambiguous/Bremier_Premier_2.mp3
35,B_group,left,exposure,crit_unamb,Primal,1,1,2,Primal,yes,SAME,DIFFERENT,NA,unambiguous/Brimal_Primal_2.mp3
36,B_group,left,exposure,crit_unamb,Prime,1,1,2,Prime,yes,SAME,DIFFERENT,NA,unambiguous/Brime_Prime_2.mp3
37,B_group,left,exposure,crit_unamb,Prior,1,1,2,Prior,yes,SAME,DIFFERENT,NA,unambiguous/Brior_Prior_2.mp3
38,B_group,left,exposure,crit_unamb,Prowl,1,1,2,Prowl,yes,SAME,DIFFERENT,NA,unambiguous/Browl_Prowl_2.mp3
39,B_group,left,exposure,crit_unamb,Pry,1,1,2,Pry,yes,SAME,DIFFERENT,NA,unambiguous/Bry_Pry_2.mp3
40,B_group,left,exposure,crit_unamb,Pylon,1,1,2,Pylon,yes,SAME,DIFFERENT,NA,unambiguous/Bylon_Pylon_2.mp3
41,B_group,left,exposure,fill_word,Aisle,0,0,0,Outfit,no,SAME,DIFFERENT,NA,word/Aisle_1.mp3
42,B_group,left,exposure,fill_word,Ally,0,1,1,Agile,no,SAME,DIFFERENT,NA,word/Ally_1.mp3
43,B_group,left,exposure,fill_word,Area,0,1,1,Arrogant,no,SAME,DIFFERENT,NA,word/Area_1.mp3
