index,group,yes_side,phase,type,audio,match,same_onset,needs_match_onset,visual_target,word_sel,nonword_sel,step,path
1,P_group,left,exposure,crit_amb,Parallel,1,1,2,Parallel,SAME,DIFFERENT,21,ambiguous/Barallel_Parallel_3_21.mp3
2,P_group,left,exposure,crit_amb,Parlor,0,0,0,Neutral,SAME,DIFFERENT,25,ambiguous/Barlor_Parlor_3_25.mp3
3,P_group,left,exposure,crit_amb,Pawn,1,1,2,Pawn,SAME,DIFFERENT,25,ambiguous/Bawn_Pawn_3_25.mp3
4,P_group,left,exposure,crit_amb,Peninsula,1,1,2,Peninsula,SAME,DIFFERENT,29,ambiguous/Beninsula_Peninsula_3_29.mp3
5,P_group,left,exposure,crit_amb,Perform,1,1,2,Perform,SAME,DIFFERENT,30,ambiguous/Berform_Perform_3_30.mp3
6,P_group,left,exposure,crit_amb,Pioneer,0,1,1,Pillow,SAME,DIFFERENT,30,ambiguous/Bioneer_Pioneer_3_30.mp3
7,P_group,left,exposure,crit_amb,Planner,1,1,2,Planner,SAME,DIFFERENT,25,ambiguous/Blanner_Planner_3_25.mp3
8,P_group,left,exposure,crit_amb,Plea,0,1,1,Pick,SAME,DIFFERENT,23,ambiguous/Blea_Plea_3_23.mp3
9,P_group,left,exposure,crit_amb,Plyer,1,1,2,Plyer,SAME,DIFFERENT,22,ambiguous/Blyer_Plyer_1_22.mp3
10,P_group,left,exposure,crit_amb,Pollen,1,1,2,Pollen,SAME,DIFFERENT,26,ambiguous/Bollen_Pollen_3_26.mp3
11,P_group,left,exposure,crit_amb,Polymer,0,1,1,Pottery,SAME,DIFFERENT,26,ambiguous/Bolymer_Polymer_3_26.mp3
12,P_group,left,exposure,crit_amb,Prayer,1,1,2,Prayer,SAME,DIFFERENT,24,ambiguous/Brayer_Prayer_1_24.mp3
13,P_group,left,exposure,crit_amb,Preliminary,0,0,0,Temple,SAME,DIFFERENT,29,ambiguous/Breliminary_Preliminary_3_29.mp3
14,P_group,left,exposure,crit_amb,Premier,1,1,2,Premier,SAME,DIFFERENT,25,ambiguous/Bremier_Premier_3_25.mp3
15,P_group,left,exposure,crit_amb,Primal,1,1,2,Primal,SAME,DIFFERENT,27,ambiguous/Brimal_Primal_3_27.mp3
16,P_group,left,exposure,crit_amb,Prime,1,1,2,Prime,SAME,DIFFERENT,21,ambiguous/Brime_Prime_1_21.mp3
17,P_group,left,exposure,crit_amb,Prior,1,1,2,Prior,SAME,DIFFERENT,22,ambiguous/Brior_Prior_3_22.mp3
18,P_group,left,exposure,crit_amb,Prowl,1,1,2,Prowl,SAME,DIFFERENT,16,ambiguous/Browl_Prowl_1_16.mp3
19,P_group,left,exposure,crit_amb,Pry,1,1,2,Pry,SAME,DIFFERENT,21,ambiguous/Bry_Pry_1_21.mp3
20,P_group,left,exposure,crit_amb,Pylon,1,1,2,Pylon,SAME,DIFFERENT,25,ambiguous/Bylon_Pylon_3_25.mp3
21,P_group,left,exposure,crit_unamb,Ballerina,1,1,2,Ballerina,SAME,DIFFERENT,NA,unambiguous/Ballerina_Pallerina_1.mp3
22,P_group,left,exposure,crit_unamb,Balloon,0,0,0,Enlarge,SAME,DIFFERENT,NA,unambiguous/Balloon_Palloon_1.mp3
23,P_group,left,exposure,crit_unamb,Baloney,1,1,2,Baloney,SAME,DIFFERENT,NA,unambiguous/Baloney_Paloney_1.mp3
24,P_group,left,exposure,crit_unamb,Banana,1,1,2,Banana,SAME,DIFFERENT,NA,unambiguous/Banana_Panana_1.mp3
25,P_group,left,exposure,crit_unamb,Barely,1,1,2,Barely,SAME,DIFFERENT,NA,unambiguous/Barely_Parely_1.mp3
26,P_group,left,exposure,crit_unamb,Barn,0,1,1,Bark,SAME,DIFFERENT,NA,unambiguous/Barn_Parn_1.mp3
27,P_group,left,exposure,crit_unamb,Barren,1,1,2,Barren,SAME,DIFFERENT,NA,unambiguous/Barren_Parren_3.mp3
28,P_group,left,exposure,crit_unamb,Belly,0,1,1,Berry,SAME,DIFFERENT,NA,unambiguous/Belly_Pelly_3.mp3
29,P_group,left,exposure,crit_unamb,Benign,1,1,2,Benign,SAME,DIFFERENT,NA,unambiguous/Benign_Penign_1.mp3
30,P_group,left,exposure,crit_unamb,Biannual,1,1,2,Biannual,SAME,DIFFERENT,NA,unambiguous/Biannual_Piannual_1.mp3
31,P_group,left,exposure,crit_unamb,Billion,0,1,1,Bitter,SAME,DIFFERENT,NA,unambiguous/Billion_Pillion_1.mp3
32,P_group,left,exposure,crit_unamb,Billionaire,1,1,2,Billionaire,SAME,DIFFERENT,NA,unambiguous/Billionaire_Pillionaire_1.mp3
33,P_group,left,exposure,crit_unamb,Blue,0,0,0,Colleague,SAME,DIFFERENT,NA,unambiguous/Blue_Plue_1.mp3
34,P_group,left,exposure,crit_unamb,Boil,1,1,2,Boil,SAME,DIFFERENT,NA,unambiguous/Boil_Poil_1.mp3
35,P_group,left,exposure,crit_unamb,Boom,1,1,2,Boom,SAME,DIFFERENT,NA,unambiguous/Boom_Poom_1.mp3
36,P_group,left,exposure,crit_unamb,Brain,1,1,2,Brain,SAME,DIFFERENT,NA,unambiguous/Brain_Prain_1.mp3
37,P_group,left,exposure,crit_unamb,Brewery,1,1,2,Brewery,SAME,DIFFERENT,NA,unambiguous/Brewery_Prewery_3.mp3
38,P_group,left,exposure,crit_unamb,Brown,1,1,2,Brown,SAME,DIFFERENT,NA,unambiguous/Brown_Prown_1.mp3
39,P_group,left,exposure,crit_unamb,Burial,1,1,2,Burial,SAME,DIFFERENT,NA,unambiguous/Burial_Purial_1.mp3
40,P_group,left,exposure,crit_unamb,Burrow,1,1,2,Burrow,SAME,DIFFERENT,NA,unambiguous/Burrow_Purrow_1.mp3
41,P_group,left,exposure,fill_word,Aisle,0,0,0,Outfit,SAME,DIFFERENT,NA,word/Aisle_1.mp3
42,P_group,left,exposure,fill_word,Ally,0,1,1,Agile,SAME,DIFFERENT,NA,word/Ally_1.mp3
43,P_group,left,exposure,fill_word,Area,0,1,1,Arrogant,SAME,DIFFERENT,NA,word/Area_1.mp3
44,P_group,left,exposure,fill_word,Arena,1,1,2,Arena,SAME,DIFFERENT,NA,word/Arena_1.mp3
45,P_group,left,exposure,fill_word,Arrow,0,1,1,Ambition,SAME,DIFFERENT,NA,word/Arrow_1.mp3
46,P_group,left,exposure,fill_word,Assume,1,1,2,Assume,SAME,DIFFERENT,NA,word/Assume_1.mp3
47,P_group,left,exposure,fill_word,Aware,0,1,1,Arrest,SAME,DIFFERENT,NA,word/Aware_1.mp3
48,P_group,left,exposure,fill_word,Enemy,0,1,1,Energy,SAME,DIFFERENT,NA,word/Enemy_1.mp3
