index,group,target,type,word_sel,nonword_sel,set,step,recording,path,underscore,extension,RENORM
1,control,balinomy_palinomy,crit_nonword,yes,no,balinomy_palinomy_1,23,1,balinomy_palinomy_1_23.mp3,_,.mp3,
2,control,baln_paln,crit_nonword,yes,no,baln_paln_3,22,3,baln_paln_3_22.mp3,_,.mp3,
3,control,bamurre_pamurre,crit_nonword,yes,no,bamurre_pamurre_3,21,3,bamurre_pamurre_3_21.mp3,_,.mp3,
4,control,bangle_pangle,crit_nonword,yes,no,bangle_pangle_3,22,3,bangle_pangle_3_22.mp3,_,.mp3,
5,control,barema_parema,crit_nonword,yes,no,barema_parema_3,21,3,barema_parema_3_21.mp3,_,.mp3,
6,control,barl_parl,crit_nonword,yes,no,barl_parl_3,22,3,barl_parl_3_22.mp3,_,.mp3,X
7,control,belammer_pelammer,crit_nonword,yes,no,belammer_pelammer_3,17,3,belammer_pelammer_3_17.mp3,_,.mp3,
8,control,bellon_pellon,crit_nonword,yes,no,bellon_pellon_1,19,1,bellon_pellon_1_19.mp3,_,.mp3,
9,control,bemmela_pemmela,crit_nonword,yes,no,bemmela_pemmela_3,29,3,bemmela_pemmela_3_29.mp3,_,.mp3,X
10,control,bemmerle_pemmerle,crit_nonword,yes,no,bemmerle_pemmerle_3,23,3,bemmerle_pemmerle_3_23.mp3,_,.mp3,
11,control,benlow_penlow,crit_nonword,yes,no,benlow_penlow_1,18,1,benlow_penlow_1_18.mp3,_,.mp3,
12,control,bennim_pennim,crit_nonword,yes,no,bennim_pennim_3,22,3,bennim_pennim_3_22.mp3,_,.mp3,
13,control,Bewry_Pewry,crit_nonword,yes,no,Bewry_Pewry_1,16,1,Bewry_Pewry_1_16.mp3,_,.mp3,
14,control,bim_pim,crit_nonword,yes,no,bim_pim_3,15,3,bim_pim_3_15.mp3,_,.mp3,
15,control,bimmel_pimmel,crit_nonword,yes,no,bimmel_pimmel_1,20,1,bimmel_pimmel_1_20.mp3,_,.mp3,X
16,control,binneran_pinneran,crit_nonword,yes,no,binneran_pinneran_1,21,1,binneran_pinneran_1_21.mp3,_,.mp3,
17,control,borl_porl,crit_nonword,yes,no,borl_porl_3,17,3,borl_porl_3_17.mp3,_,.mp3,X
18,control,boyer_poyer,crit_nonword,yes,no,boyer_poyer_3,17,3,boyer_poyer_3_17.mp3,_,.mp3,
19,control,brynon_prynon,crit_nonword,yes,no,brynon_prynon_1,22,1,brynon_prynon_1_22.mp3,_,.mp3,
20,control,bunnel_punnel,crit_nonword,yes,no,bunnel_punnel_3,28,3,bunnel_punnel_3_28.mp3,_,.mp3,X
21,control,Aller,fill_nonword,yes,no,Aller,NA,1,Aller_1.mp3,_,.mp3,
22,control,Arema,fill_nonword,yes,no,Arema,NA,1,Arema_1.mp3,_,.mp3,
23,control,Chame,fill_nonword,yes,no,Chame,NA,1,Chame_1.mp3,_,.mp3,
24,control,Cheel,fill_nonword,yes,no,Cheel,NA,1,Cheel_1.mp3,_,.mp3,
25,control,Churr,fill_nonword,yes,no,Churr,NA,1,Churr_1.mp3,_,.mp3,
26,control,Eamer,fill_nonword,yes,no,Eamer,NA,1,Eamer_1.mp3,_,.mp3,
27,control,Eelam,fill_nonword,yes,no,Eelam,NA,1,Eelam_1.mp3,_,.mp3,
28,control,Eynam,fill_nonword,yes,no,Eynam,NA,1,Eynam_1.mp3,_,.mp3,
29,control,Feen,fill_nonword,yes,no,Feen,NA,1,Feen_1.mp3,_,.mp3,
30,control,Felmy,fill_nonword,yes,no,Felmy,NA,1,Felmy_1.mp3,_,.mp3,
31,control,Fime,fill_nonword,yes,no,Fime,NA,1,Fime_1.mp3,_,.mp3,
32,control,Fonnow,fill_nonword,yes,no,Fonnow,NA,1,Fonnow_1.mp3,_,.mp3,
33,control,Foon,fill_nonword,yes,no,Foon,NA,1,Foon_1.mp3,_,.mp3,
34,control,Hallen,fill_nonword,yes,no,Hallen,NA,1,Hallen_1.mp3,_,.mp3,
35,control,Hame,fill_nonword,yes,no,Hame,NA,1,Hame_1.mp3,_,.mp3,
36,control,Harl,fill_nonword,yes,no,Harl,NA,1,Harl_1.mp3,_,.mp3,
37,control,Harn,fill_nonword,yes,no,Harn,NA,1,Harn_1.mp3,_,.mp3,
38,control,Harnomy,fill_nonword,yes,no,Harnomy,NA,1,Harnomy_1.mp3,_,.mp3,
39,control,Heln,fill_nonword,yes,no,Heln,NA,1,Heln_1.mp3,_,.mp3,
40,control,Hemmery,fill_nonword,yes,no,Hemmery,NA,1,Hemmery_1.mp3,_,.mp3,
41,control,Heon,fill_nonword,yes,no,Heon,NA,1,Heon_1.mp3,_,.mp3,
42,control,Heyn,fill_nonword,yes,no,Heyn,NA,1,Heyn_1.mp3,_,.mp3,
43,control,Hing,fill_nonword,yes,no,Hing,NA,1,Hing_1.mp3,_,.mp3,
44,control,Hino,fill_nonword,yes,no,Hino,NA,1,Hino_1.mp3,_,.mp3,
45,control,Hollin,fill_nonword,yes,no,Hollin,NA,1,Hollin_1.mp3,_,.mp3,
46,control,Hoy,fill_nonword,yes,no,Hoy,NA,1,Hoy_1.mp3,_,.mp3,
47,control,Hurn,fill_nonword,yes,no,Hurn,NA,1,Hurn_1.mp3,_,.mp3,
48,control,Jare,fill_nonword,yes,no,Jare,NA,1,Jare_1.mp3,_,.mp3,
49,control,Jeel,fill_nonword,yes,no,Jeel,NA,1,Jeel_1.mp3,_,.mp3,
50,control,Jum,fill_nonword,yes,no,Jum,NA,1,Jum_1.mp3,_,.mp3,
51,control,Jurio,fill_nonword,yes,no,Jurio,NA,1,Jurio_1.mp3,_,.mp3,
52,control,Lahm,fill_nonword,yes,no,Lahm,NA,1,Lahm_1.mp3,_,.mp3,
53,control,Lail,fill_nonword,yes,no,Lail,NA,1,Lail_1.mp3,_,.mp3,
54,control,Lar,fill_nonword,yes,no,Lar,NA,1,Lar_1.mp3,_,.mp3,
55,control,Larrow,fill_nonword,yes,no,Larrow,NA,1,Larrow_1.mp3,_,.mp3,
56,control,Leonie,fill_nonword,yes,no,Leonie,NA,1,Leonie_1.mp3,_,.mp3,
57,control,Lermie,fill_nonword,yes,no,Lermie,NA,1,Lermie_1.mp3,_,.mp3,
58,control,Loanler,fill_nonword,yes,no,Loanler,NA,1,Loanler_1.mp3,_,.mp3,
59,control,Loff,fill_nonword,yes,no,Loff,NA,1,Loff_1.mp3,_,.mp3,
60,control,Lum,fill_nonword,yes,no,Lum,NA,1,Lum_1.mp3,_,.mp3,
61,control,Mallon,fill_nonword,yes,no,Mallon,NA,1,Mallon_1.mp3,_,.mp3,
62,control,Mang,fill_nonword,yes,no,Mang,NA,1,Mang_1.mp3,_,.mp3,
63,control,Mannow,fill_nonword,yes,no,Mannow,NA,1,Mannow_1.mp3,_,.mp3,
64,control,Marn,fill_nonword,yes,no,Marn,NA,1,Marn_1.mp3,_,.mp3,
65,control,Mawen,fill_nonword,yes,no,Mawen,NA,1,Mawen_1.mp3,_,.mp3,
66,control,Mawn,fill_nonword,yes,no,Mawn,NA,1,Mawn_1.mp3,_,.mp3,
67,control,Mayin,fill_nonword,yes,no,Mayin,NA,1,Mayin_1.mp3,_,.mp3,
68,control,Memmel,fill_nonword,yes,no,Memmel,NA,1,Memmel_1.mp3,_,.mp3,
69,control,Mewry,fill_nonword,yes,no,Mewry,NA,1,Mewry_1.mp3,_,.mp3,
70,control,Minnin,fill_nonword,yes,no,Minnin,NA,1,Minnin_1.mp3,_,.mp3,
71,control,Morial,fill_nonword,yes,no,Morial,NA,1,Morial_1.mp3,_,.mp3,
72,control,Mun,fill_nonword,yes,no,Mun,NA,1,Mun_1.mp3,_,.mp3,
73,control,Nallow,fill_nonword,yes,no,Nallow,NA,1,Nallow_1.mp3,_,.mp3,
74,control,Neoma,fill_nonword,yes,no,Neoma,NA,1,Neoma_1.mp3,_,.mp3,
75,control,Ner,fill_nonword,yes,no,Ner,NA,1,Ner_1.mp3,_,.mp3,
76,control,Noron,fill_nonword,yes,no,Noron,NA,1,Noron_1.mp3,_,.mp3,
77,control,Noy,fill_nonword,yes,no,Noy,NA,1,Noy_1.mp3,_,.mp3,
78,control,Orn,fill_nonword,yes,no,Orn,NA,1,Orn_1.mp3,_,.mp3,
79,control,Rame,fill_nonword,yes,no,Rame,NA,1,Rame_1.mp3,_,.mp3,
80,control,Rannel,fill_nonword,yes,no,Rannel,NA,1,Rannel_1.mp3,_,.mp3,
81,control,Rawl,fill_nonword,yes,no,Rawl,NA,1,Rawl_1.mp3,_,.mp3,
82,control,Reen,fill_nonword,yes,no,Reen,NA,2,Reen_2.mp3,_,.mp3,
83,control,Ria,fill_nonword,yes,no,Ria,NA,1,Ria_1.mp3,_,.mp3,
84,control,Sare,fill_nonword,yes,no,Sare,NA,1,Sare_1.mp3,_,.mp3,
85,control,Selmer,fill_nonword,yes,no,Selmer,NA,1,Selmer_1.mp3,_,.mp3,
86,control,Siller,fill_nonword,yes,no,Siller,NA,1,Siller_1.mp3,_,.mp3,
87,control,Slomb,fill_nonword,yes,no,Slomb,NA,1,Slomb_1.mp3,_,.mp3,
88,control,Smong,fill_nonword,yes,no,Smong,NA,1,Smong_1.mp3,_,.mp3,
89,control,Snoll,fill_nonword,yes,no,Snoll,NA,1,Snoll_1.mp3,_,.mp3,
90,control,Snyre,fill_nonword,yes,no,Snyre,NA,1,Snyre_1.mp3,_,.mp3,
91,control,Threen,fill_nonword,yes,no,Threen,NA,1,Threen_1.mp3,_,.mp3,
92,control,Vainyl,fill_nonword,yes,no,Vainyl,NA,1,Vainyl_1.mp3,_,.mp3,
93,control,Vallon,fill_nonword,yes,no,Vallon,NA,1,Vallon_1.mp3,_,.mp3,
94,control,Ven,fill_nonword,yes,no,Ven,NA,1,Ven_1.mp3,_,.mp3,
95,control,Vunn,fill_nonword,yes,no,Vunn,NA,1,Vunn_1.mp3,_,.mp3,
96,control,Werro,fill_nonword,yes,no,Werro,NA,1,Werro_1.mp3,_,.mp3,
97,control,Winal,fill_nonword,yes,no,Winal,NA,1,Winal_1.mp3,_,.mp3,
98,control,Woony,fill_nonword,yes,no,Woony,NA,1,Woony_1.mp3,_,.mp3,
99,control,Wyan,fill_nonword,yes,no,Wyan,NA,1,Wyan_1.mp3,_,.mp3,
100,control,Yorn,fill_nonword,yes,no,Yorn,NA,1,Yorn_1.mp3,_,.mp3,
101,control,Aisle,fill_word,yes,no,Aisle,NA,1,Aisle_1.mp3,_,.mp3,
102,control,Ally,fill_word,yes,no,Ally,NA,1,Ally_1.mp3,_,.mp3,
103,control,Area,fill_word,yes,no,Area,NA,1,Area_1.mp3,_,.mp3,
104,control,Arena,fill_word,yes,no,Arena,NA,1,Arena_1.mp3,_,.mp3,
105,control,Arrow,fill_word,yes,no,Arrow,NA,1,Arrow_1.mp3,_,.mp3,
106,control,Assume,fill_word,yes,no,Assume,NA,1,Assume_1.mp3,_,.mp3,
107,control,Aware,fill_word,yes,no,Aware,NA,1,Aware_1.mp3,_,.mp3,
108,control,Enemy,fill_word,yes,no,Enemy,NA,1,Enemy_1.mp3,_,.mp3,
109,control,Ensure,fill_word,yes,no,Ensure,NA,1,Ensure_1.mp3,_,.mp3,
110,control,Error,fill_word,yes,no,Error,NA,1,Error_1.mp3,_,.mp3,
111,control,Eye,fill_word,yes,no,Eye,NA,1,Eye_1.mp3,_,.mp3,
112,control,Failure,fill_word,yes,no,Failure,NA,1,Failure_1.mp3,_,.mp3,
113,control,Famous,fill_word,yes,no,Famous,NA,1,Famous_1.mp3,_,.mp3,
114,control,Flower,fill_word,yes,no,Flower,NA,1,Flower_1.mp3,_,.mp3,
115,control,Frame,fill_word,yes,no,Frame,NA,1,Frame_1.mp3,_,.mp3,
116,control,Funnel,fill_word,yes,no,Funnel,NA,1,Funnel_1.mp3,_,.mp3,
117,control,Hallway,fill_word,yes,no,Hallway,NA,1,Hallway_1.mp3,_,.mp3,
118,control,Hang,fill_word,yes,no,Hang,NA,1,Hang_1.mp3,_,.mp3,
119,control,Harmony,fill_word,yes,no,Harmony,NA,1,Harmony_1.mp3,_,.mp3,
120,control,Hill,fill_word,yes,no,Hill,NA,1,Hill_1.mp3,_,.mp3,
121,control,Hole,fill_word,yes,no,Hole,NA,1,Hole_1.mp3,_,.mp3,
122,control,Horn,fill_word,yes,no,Horn,NA,1,Horn_1.mp3,_,.mp3,
123,control,Jelly,fill_word,yes,no,Jelly,NA,1,Jelly_1.mp3,_,.mp3,
124,control,Jewel,fill_word,yes,no,Jewel,NA,1,Jewel_1.mp3,_,.mp3,
125,control,Lawyer,fill_word,yes,no,Lawyer,NA,1,Lawyer_1.mp3,_,.mp3,
126,control,Layer,fill_word,yes,no,Layer,NA,1,Layer_1.mp3,_,.mp3,
127,control,Learning,fill_word,yes,no,Learning,NA,1,Learning_1.mp3,_,.mp3,
128,control,Low,fill_word,yes,no,Low,NA,1,Low_1.mp3,_,.mp3,
129,control,Main,fill_word,yes,no,Main,NA,1,Main_1.mp3,_,.mp3,
130,control,Marine,fill_word,yes,no,Marine,NA,1,Marine_1.mp3,_,.mp3,
131,control,Memory,fill_word,yes,no,Memory,NA,1,Memory_1.mp3,_,.mp3,
