group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path,code
control,exposure,crit_unamb,Ballerina,NA,1,1,2,Ballerina,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Ballerina_Pallerina_1_30.wav,1
control,exposure,crit_unamb,Balloon,NA,0,0,0,Enlarge,no,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Balloon_Palloon_1_30.wav,2
control,exposure,crit_unamb,Baloney,NA,1,1,2,Baloney,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Baloney_Paloney_1_30.wav,3
control,exposure,crit_unamb,Banana,NA,1,1,2,Banana,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Banana_Panana_1_30.wav,4
control,exposure,crit_unamb,Barely,NA,1,1,2,Barely,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Barely_Parely_1_30.wav,5
control,exposure,crit_unamb,Barn,NA,0,1,1,Bark,no,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Barn_Parn_1_30.wav,6
control,exposure,crit_unamb,Barren,NA,1,1,2,Barren,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Barren_Parren_3_30.wav,7
control,exposure,crit_unamb,Belly,NA,0,1,1,Berry,no,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Belly_Pelly_3_30.wav,8
control,exposure,crit_unamb,Benign,NA,1,1,2,Benign,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Benign_Penign_1_30.wav,9
control,exposure,crit_unamb,Biannual,NA,1,1,2,Biannual,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Biannual_Piannual_1_30.wav,10
control,exposure,crit_unamb,Billion,NA,0,1,1,Bitter,no,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Billion_Pillion_1_30.wav,11
control,exposure,crit_unamb,Billionaire,NA,1,1,2,Billionaire,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Billionaire_Pillionaire_1_30.wav,12
control,exposure,crit_unamb,Blue,NA,0,0,0,Colleague,no,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Blue_Plue_1_30.wav,13
control,exposure,crit_unamb,Boil,NA,1,1,2,Boil,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Boil_Poil_1_30.wav,14
control,exposure,crit_unamb,Boom,NA,1,1,2,Boom,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Boom_Poom_1_30.wav,15
control,exposure,crit_unamb,Brain,NA,1,1,2,Brain,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Brain_Prain_1_30.wav,16
control,exposure,crit_unamb,Brewery,NA,1,1,2,Brewery,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Brewery_Prewery_3_30.wav,17
control,exposure,crit_unamb,Brown,NA,1,1,2,Brown,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Brown_Prown_1_30.wav,18
control,exposure,crit_unamb,Burial,NA,1,1,2,Burial,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Burial_Purial_1_30.wav,19
control,exposure,crit_unamb,Burrow,NA,1,1,2,Burrow,yes,NA,NA,NA,NA,SAME,DIFFERENT,30,audio/unambiguous_b/Burrow_Purrow_1_30.wav,20
control,exposure,crit_unamb,Parallel,NA,1,1,2,Parallel,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Barallel_Parallel_4_00.wav,21
control,exposure,crit_unamb,Parlor,NA,0,0,0,Neutral,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Barlor_Parlor_4_00.wav,22
control,exposure,crit_unamb,Pawn,NA,1,1,2,Pawn,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bawn_Pawn_2_00.wav,23
control,exposure,crit_unamb,Peninsula,NA,1,1,2,Peninsula,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Beninsula_Peninsula_2_00.wav,24
control,exposure,crit_unamb,Perform,NA,1,1,2,Perform,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Berform_Perform_2_00.wav,25
control,exposure,crit_unamb,Pioneer,NA,0,1,1,Pillow,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bioneer_Pioneer_4_00.wav,26
control,exposure,crit_unamb,Planner,NA,1,1,2,Planner,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Blanner_Planner_2_00.wav,27
control,exposure,crit_unamb,Plea,NA,0,1,1,Pick,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Blea_Plea_2_00.wav,28
control,exposure,crit_unamb,Plyer,NA,1,1,2,Plyer,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Blyer_Plyer_2_00.wav,29
control,exposure,crit_unamb,Pollen,NA,1,1,2,Pollen,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bollen_Pollen_2_00.wav,30
control,exposure,crit_unamb,Polymer,NA,0,1,1,Pottery,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bolymer_Polymer_2_00.wav,31
control,exposure,crit_unamb,Prayer,NA,1,1,2,Prayer,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brayer_Prayer_2_00.wav,32
control,exposure,crit_unamb,Preliminary,NA,0,0,0,Temple,no,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Breliminary_Preliminary_2_00.wav,33
control,exposure,crit_unamb,Premier,NA,1,1,2,Premier,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bremier_Premier_2_00.wav,34
control,exposure,crit_unamb,Primal,NA,1,1,2,Primal,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brimal_Primal_2_00.wav,35
control,exposure,crit_unamb,Prime,NA,1,1,2,Prime,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brime_Prime_2_00.wav,36
control,exposure,crit_unamb,Prior,NA,1,1,2,Prior,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Brior_Prior_2_00.wav,37
control,exposure,crit_unamb,Prowl,NA,1,1,2,Prowl,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Browl_Prowl_2_00.wav,38
control,exposure,crit_unamb,Pry,NA,1,1,2,Pry,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bry_Pry_2_00.wav,39
control,exposure,crit_unamb,Pylon,NA,1,1,2,Pylon,yes,NA,NA,NA,NA,SAME,DIFFERENT,0,audio/unambiguous_p/Bylon_Pylon_2_00.wav,40
control,exposure_set,fill_word,Aisle,NA,0,0,0,Outfit,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Aisle_1.wav,41
control,exposure,fill_word,Ally,NA,0,1,1,Agile,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ally_1.wav,42
control,exposure,fill_word,Area,NA,0,1,1,Arrogant,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Area_1.wav,43
control,exposure,fill_word,Arena,NA,1,1,2,Arena,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Arena_1.wav,44
control,exposure,fill_word,Arrow,NA,0,1,1,Ambition,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Arrow_1.wav,45
control,exposure,fill_word,Assume,NA,1,1,2,Assume,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Assume_1.wav,46
control,exposure,fill_word,Aware,NA,0,1,1,Arrest,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Aware_1.wav,47
control,exposure,fill_word,Enemy,NA,0,1,1,Energy,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Enemy_1.wav,48
control,exposure,fill_word,Ensure,NA,1,1,2,Ensure,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Ensure_1.wav,49
control,exposure,fill_word,Error,NA,0,0,0,Lonely,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Error_1.wav,50
control,exposure,fill_word,Eye,NA,0,0,0,Verdict,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Eye_1.wav,51
control,exposure,fill_word,Failure,NA,1,1,2,Failure,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Failure_1.wav,52
control,exposure,fill_word,Famous,NA,0,0,0,Loss,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Famous_1.wav,53
control,exposure,fill_word,Flower,NA,0,1,1,Flourish,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Flower_1.wav,54
control,exposure,fill_word,Frame,NA,0,1,1,Frown,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Frame_1.wav,55
control,exposure,fill_word,Funnel,NA,0,0,0,Deny,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Funnel_1.wav,56
control,exposure,fill_word,Hallway,NA,0,1,1,Harvest,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hallway_1.wav,57
control,exposure,fill_word,Hang,NA,1,1,2,Hang,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hang_1.wav,58
control,exposure_set,fill_word,Harmony,NA,0,1,1,Habitat,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Harmony_1.wav,59
control,exposure,fill_word,Hill,NA,1,1,2,Hill,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hill_1.wav,60
control,exposure,fill_word,Hole,NA,0,1,1,Hurl,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Hole_1.wav,61
control,exposure,fill_word,Horn,NA,0,1,1,Heel,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Horn_1.wav,62
control,exposure,fill_word,Jelly,NA,1,1,2,Jelly,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Jelly_2.wav,63
control,exposure,fill_word,Jewel,NA,0,0,0,Tribute,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Jewel_1.wav,64
control,exposure,fill_word,Lawyer,NA,0,0,0,Advice,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Lawyer_1.wav,65
control,exposure,fill_word,Layer,NA,1,1,2,Layer,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Layer_1.wav,66
control,exposure,fill_word,Learning,NA,1,1,2,Learning,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Learning_1.wav,67
control,exposure,fill_word,Low,NA,1,1,2,Low,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Low_1.wav,68
control,exposure,fill_word,Main,NA,0,1,1,Maid,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Main_1.wav,69
control,exposure,fill_word,Marine,NA,0,1,1,Mature,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Marine_1.wav,70
control,exposure,fill_word,Memory,NA,1,1,2,Memory,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Memory_1.wav,71
control,exposure,fill_word,Money,NA,1,1,2,Money,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Money_1.wav,72
control,exposure,fill_word,Name,NA,0,0,0,Favor,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Name_1.wav,73
control,exposure,fill_word,Narrow,NA,0,0,0,Ankle,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Narrow_1.wav,74
control,exposure,fill_word,Normal,NA,0,1,1,Nervous,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Normal_2.wav,75
control,exposure,fill_word,Nun,NA,1,1,2,Nun,yes,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Nun_1.wav,76
control,exposure,fill_word,Phenomenon,NA,0,0,0,Replace,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Phenomenon_1.wav,77
control,exposure,fill_word,Rally,NA,0,0,0,Knowledge,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Rally_1.wav,78
control,exposure,fill_word,Range,NA,0,0,0,Spirit,no,NA,NA,NA,NA,SAME,DIFFERENT,NA,audio/filler/Range_1.wav,79
