workerid,proliferate.condition,audio,block_order,button_pressed,correct_response,group,internal_node_id,key_press,match_sel,mismatch_sel,normed_midpoint,path,repetition,responses,rt,step,stimulus,test_part,time_elapsed,trial_index,trial_type,type,visual_target,voiced_sel,voiceless_sel,vowel,yes_side,error
21,condition1,,,0,,,0.0-0.0,,,,,,,,1603,,"<div class =""irb""><img src=""imgs/SUSig_2color_Stree_Stacked_Left.png"" alt=""Stanford University Logo"" class=""logo""><p id=""legal""><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p></div>",,1609,0,html-button-response,,,,,,,
21,condition1,,,,,,0.0-1.0,32,,,,,,,959,,"<div class=""gen_ins""><p>In this experiment, you will hear recordings and will make simple decisions about them.<br><br>IMPORTANT: Please only accept this task if you are listening through headphones and working in a quiet environment.<br><br>Press the space bar to continue.</p></div>",,2569,1,html-keyboard-response,,,,,,,
21,condition1,,,,,,0.0-2.0,32,,,,,,,523,,"<div class=""spec_ins""><p>This experiment has two parts. In this first part, you will see a printed word, and then hear a spoken word.  Sometimes the printed and spoken words will be the same (see FASHION; hear <em>fashion</em>); other times the printed and spoken words will be different (see FASHION; hear <em>turkey</em>).<br><br>YOUR JOB: Decide whether the printed and spoken words are the SAME or DIFFERENT. To do this, place your fingers on the S and K keys. <br><br>If the words are the SAME press the S key.<br><br>If the words are DIFFERENT, press the K key.<br><br>Please answer as quickly and accurately as possible.<br><br>A response cannot be made until the audio has played entirely. Once a selection is made, the slide will advance after a brief pause. If no response is made after several seconds, the slide will advance automatically.<br><br>Please press the space bar to begin.</p></div>",,3092,2,html-keyboard-response,,,,,,,
21,condition1,,,,,,0.0-3.0,,,,,,,,,,audio/filler/Aisle_1.wav,,3872,3,audio-keyboard-response,,,,,,,
21,condition1,Aisle,onset-coda,,no,b_group,0.0-4.0,75,SAME,DIFFERENT,NA,audio/filler/Aisle_1.wav,NA,,643,NA,"<div class=""big-container""><p class=""exposure-prompt"">Outfit</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,4516,4,html-keyboard-response,fill_word,Outfit,NA,NA,NA,LEFT,
21,condition1,,,,,,0.0-5.0,32,,,,,,,893.0000000000009,,"<div class=""pre-test-container""><p>Great Job! You finished the first part of the Experiment!<br><br>In the second part of the experiment, you will hear the talker say syllables, like <em>ba</em> or <em>pa</em> Your job is to tell us what the last sound of each syllable is.<br><br> You will hear a lot of syllables that sound quite similar.<br><br>Do your best, and respond as quickly and accurately as you can, identifying the last sound of the syllable.<br><br>Please place your fingers again on the S and K buttons, and follow the prompts to make your choices.<br><br>Press the space bar to continue.</p></div>",,6411,5,html-keyboard-response,,,,,,,
21,condition1,BUH_PUH_3_24,onset-coda,,NA,b_group,0.0-6.0,83,NA,NA,21,audio/onset_syllables/BUH_PUH_3_24.wav,1,,693,24,audio/onset_syllables/BUH_PUH_3_24.wav,test_onset,8105,6,audio-keyboard-response,onset_syllable,NA,B,P,UH,LEFT,
21,condition1,,,,,,0.0-7.0,32,,,,,,,600,,"<div class=""pre-test-container""><p>In the next round, you'll hear single syllables again. You can expect to hear syllables like <em>ahb</em> or <em>ahp</em>.<br><br>Select the sound that ended the syllable by pressing S or K.<br><br>Press the space bar to continue.</p></div>",,9707,7,html-keyboard-response,,,,,,,
21,condition1,UHB_UHP_5_00,onset-coda,,NA,b_group,0.0-8.0,75,NA,NA,8,audio/coda_syllables/UHB_UHP_5_00.wav,2,,1267,0,audio/coda_syllables/UHB_UHP_5_00.wav,test_coda,11975,8,audio-keyboard-response,coda_syllable,NA,B,P,UH,LEFT,
21,condition1,,,,,,0.0-9.0,32,,,,,,,756.0000000000018,,"<div class=""pre-test-container""><p>Great Job! You finished the Experiment.<br><br>To help us interpret our results, it would be helpful to learn a little more about you. Please answer the following questions if you have time. None of the questions are required.</p></div>",,13733,9,html-keyboard-response,,,,,,,
21,condition1,,,,,,0.0-10.0,,,,,,,"{""age"":"""",""language"":""""}",2635,,,,16620,10,survey-html-form,,,,,,,
21,condition1,,,,,,0.0-11.0,,,,,,,"{""interruption-time"":"""",""problems"":"""",""fair-price"":"""",""comments"":""""}",1738,,,,18359,11,survey-html-form,,,,,,,
