workerid,proliferate.condition,audio,block_order,button_pressed,correct_response,group,internal_node_id,key_press,match_sel,mismatch_sel,normed_midpoint,path,repetition,responses,rt,step,stimulus,test_part,time_elapsed,trial_index,trial_type,type,visual_target,voiced_sel,voiceless_sel,vowel,yes_side,error
24,condition1,,,0,,,0.0-0.0,,,,,,,,4099.33,,"<div class =""irb""><img src=""imgs/SUSig_2color_Stree_Stacked_Left.png"" alt=""Stanford University Logo"" class=""logo""><p id=""legal""><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p></div>",,4120,0,html-button-response,,,,,,,
24,condition1,,,,,,0.0-1.0,32,,,,,,,82903.39,,"<div class=""gen_ins""><p>In this experiment, you will hear recordings and will make simple decisions about them.<br><br>IMPORTANT: Please only accept this task if you are listening through headphones and working in a quiet environment.<br><br>Press the space bar to continue.</p></div>",,87027,1,html-keyboard-response,,,,,,,
24,condition1,,,,,,0.0-2.0,32,,,,,,,21458.195,,"<div class=""spec_ins""><p>This experiment has two parts. In this first part, you will see a printed word, and then hear a spoken word.  Sometimes the printed and spoken words will be the same (see FASHION; hear <em>fashion</em>); other times the printed and spoken words will be different (see FASHION; hear <em>turkey</em>).<br><br>YOUR JOB: Decide whether the printed and spoken words are the SAME or DIFFERENT. To do this, place your fingers on the S and K keys. <br><br>If the words are the SAME press the S key.<br><br>If the words are DIFFERENT, press the K key.<br><br>Please answer as quickly and accurately as possible.<br><br>A response cannot be made until the audio has played entirely. Once a selection is made, the slide will advance after a brief pause. If no response is made after several seconds, the slide will advance automatically.<br><br>Please press the space bar to begin.</p></div>",,108488,2,html-keyboard-response,,,,,,,
24,condition1,,,,,,0.0-3.0,,,,,,,,,,audio/filler/Real_1.wav,,109181,3,audio-keyboard-response,,,,,,,
24,condition1,Real,coda-onset,,yes,control,0.0-4.0,83,SAME,DIFFERENT,NA,audio/filler/Real_1.wav,NA,,2041.535,NA,"<div class=""big-container""><p class=""exposure-prompt"">Real</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,111224,4,html-keyboard-response,fill_word,Real,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-5.0,,,,,,,,,,audio/filler/Harmony_1.wav,,112935,5,audio-keyboard-response,,,,,,,
24,condition1,Harmony,coda-onset,,no,control,0.0-6.0,75,SAME,DIFFERENT,NA,audio/filler/Harmony_1.wav,NA,,1105.76,NA,"<div class=""big-container""><p class=""exposure-prompt"">Habitat</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,114042,6,html-keyboard-response,fill_word,Habitat,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-7.0,,,,,,,,,,audio/filler/Aisle_1.wav,,115730,7,audio-keyboard-response,,,,,,,
24,condition1,Aisle,coda-onset,,no,control,0.0-8.0,75,SAME,DIFFERENT,NA,audio/filler/Aisle_1.wav,NA,,1019.685,NA,"<div class=""big-container""><p class=""exposure-prompt"">Outfit</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,116751,8,html-keyboard-response,fill_word,Outfit,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-9.0,,,,,,,,,,audio/filler/Violin_1.wav,,118635,9,audio-keyboard-response,,,,,,,
24,condition1,Violin,coda-onset,,yes,control,0.0-10.0,83,SAME,DIFFERENT,NA,audio/filler/Violin_1.wav,NA,,841.61,NA,"<div class=""big-container""><p class=""exposure-prompt"">Violin</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,119478,10,html-keyboard-response,fill_word,Violin,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-11.0,,,,,,,,,,audio/unambiguous_p/Barlor_Parlor_4_00.wav,,121202,11,audio-keyboard-response,,,,,,,
24,condition1,Parlor,coda-onset,,no,control,0.0-12.0,75,SAME,DIFFERENT,NA,audio/unambiguous_p/Barlor_Parlor_4_00.wav,NA,,983.71,0,"<div class=""big-container""><p class=""exposure-prompt"">Neutral</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,122187,12,html-keyboard-response,crit_unamb,Neutral,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-13.0,,,,,,,,,,audio/unambiguous_p/Bollen_Pollen_2_00.wav,,123900,13,audio-keyboard-response,,,,,,,
24,condition1,Pollen,coda-onset,,yes,control,0.0-14.0,83,SAME,DIFFERENT,NA,audio/unambiguous_p/Bollen_Pollen_2_00.wav,NA,,713.93,0,"<div class=""big-container""><p class=""exposure-prompt"">Pollen</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,124615,14,html-keyboard-response,crit_unamb,Pollen,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-15.0,,,,,,,,,,audio/unambiguous_p/Bolymer_Polymer_2_00.wav,,126386,15,audio-keyboard-response,,,,,,,
24,condition1,Polymer,coda-onset,,no,control,0.0-16.0,75,SAME,DIFFERENT,NA,audio/unambiguous_p/Bolymer_Polymer_2_00.wav,NA,,803.23,0,"<div class=""big-container""><p class=""exposure-prompt"">Pottery</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,127191,16,html-keyboard-response,crit_unamb,Pottery,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-17.0,,,,,,,,,,audio/unambiguous_p/Bry_Pry_2_00.wav,,128967,17,audio-keyboard-response,,,,,,,
24,condition1,Pry,coda-onset,,yes,control,0.0-18.0,83,SAME,DIFFERENT,NA,audio/unambiguous_p/Bry_Pry_2_00.wav,NA,,613.54,0,"<div class=""big-container""><p class=""exposure-prompt"">Pry</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,129582,18,html-keyboard-response,crit_unamb,Pry,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-19.0,,,,,,,,,,audio/unambiguous_b/Brain_Prain_1_30.wav,,131303,19,audio-keyboard-response,,,,,,,
24,condition1,Brain,coda-onset,,yes,control,0.0-20.0,83,SAME,DIFFERENT,NA,audio/unambiguous_b/Brain_Prain_1_30.wav,NA,,460.875,30,"<div class=""big-container""><p class=""exposure-prompt"">Brain</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,131765,20,html-keyboard-response,crit_unamb,Brain,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-21.0,,,,,,,,,,audio/filler/Hill_1.wav,,133383,21,audio-keyboard-response,,,,,,,
24,condition1,Hill,coda-onset,,yes,control,0.0-22.0,83,SAME,DIFFERENT,NA,audio/filler/Hill_1.wav,NA,,475.15,NA,"<div class=""big-container""><p class=""exposure-prompt"">Hill</p><div class=""yes-no""><div class=""option-container""><p>SAME</p><p>Press S</p></div><div class=""option-container""><p>DIFFERENT</p><p>Press K</p></div></div></div>",exposure,133860,22,html-keyboard-response,fill_word,Hill,NA,NA,NA,LEFT,
24,condition1,,,,,,0.0-23.0,,,,,,,,,,audio/filler/Name_1.wav,,135645,23,audio-keyboard-response,,,,,,,
